seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
72,83618,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,20,0
73,84618,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,20,0
74,85618,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,21,0
75,86618,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,21,0
76,87620,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,21,0
1,11110,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,12110,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
3,13110,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
4,14110,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
5,15164,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
6,16269,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,1,0
7,17269,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,2,0
8,18269,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,2,0
10,20269,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,3,0
11,21269,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,3,0
12,22279,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,3,0
13,23349,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,3,0
14,24349,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,4,0
15,25349,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,4,0
16,26411,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,4,0
17,27610,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,5,0
18,28610,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,5,0
19,29610,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,5,0
20,30610,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,6,0
21,31610,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,6,0
22,32671,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,6,0
23,33671,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,6,0
24,34671,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,7,0
25,35671,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,7,0
26,36671,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,7,0
27,37747,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,8,0
28,38747,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,8,0
29,39747,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,8,0
30,40747,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,8,0
31,41753,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,8,0
32,42753,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,9,0
33,43753,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,9,0
34,44753,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,9,0
35,45785,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,10,0
